processor,threads,cycles,instructions,floatingPointInstructions,timeElapsed
xs-4114,1,18368579557,27405156894,6750000001,6.311500118
xs-4114,1,18391423835,27406030161,6750000001,6.293364826
xs-4114,1,18467601717,27405112245,6750000001,6.315790086
xs-4114,2,17965105662,27408471861,6750000001,3.232958834
xs-4114,2,18405162110,27410002906,6750000001,3.308298889
xs-4114,2,19505145307,27410444832,6750000001,3.491736695
xs-4114,4,18589609214,27415892671,6750000001,1.808540319
xs-4114,4,18392014898,27419582051,6750000001,1.789814807
xs-4114,4,20740283017,27421108627,6750000001,2.024237059
xs-4114,8,19221016292,27431372902,6750000001,1.030860820
xs-4114,8,18597991133,27430051704,6750000001,1.011704549
xs-4114,8,18751773071,27439335092,6750000001,1.040679775
xs-4114,16,41736317835,27487734035,6750000001,1.486804824
xs-4114,16,42441564696,27488208733,6750000001,1.602197438
xs-4114,16,39627126775,27486123883,6750000001,1.479883804
xs-4114,32,91820414073,27461592653,6750000001,2.052163046
xs-4114,32,91770279855,27462590424,6750000001,2.099531335
xs-4114,32,91087248891,27461872333,6750000001,2.132382588
xs-4114,64,93363921872,27475263405,6750000001,2.072269478
xs-4114,64,92660885757,27476736669,6750000001,2.040524464
xs-4114,64,92135783427,27479560161,6750000001,2.057107249
xs-4114,128,94081158049,27494839172,6750000001,2.065014077
xs-4114,128,93923279967,27494917559,6750000001,2.038453200
xs-4114,128,93664878941,27494139118,6750000001,2.055161148
xs-4114,256,94078413669,27520286278,6750000001,2.090683914
xs-4114,256,94066575541,27521142893,6750000001,2.096168158
xs-4114,256,94177829996,27521167588,6750000001,2.057599694
xs-4114,512,93609786540,27563574353,6750000001,2.078970823
xs-4114,512,93866556324,27561294874,6750000001,2.069591371
xs-4114,512,94341834461,27565569807,6750000001,2.055801829
xs-4114,1024,94143490606,27629324669,6750000001,2.091916647
xs-4114,1024,94292088459,27629109282,6750000001,2.090175496
xs-4114,1024,94248816729,27635386054,6750000001,2.080946500
xs-4114,2048,94049926009,27766958123,6750000001,2.118393444
xs-4114,2048,94244065764,27764550725,6750000001,2.108526279
xs-4114,2048,94539185062,27764964657,6750000001,2.114031114
xs-4114,4096,95397516114,28020675116,6750000001,2.195631691
xs-4114,4096,95335157008,28031408032,6750000001,2.185408422
xs-4114,4096,95189953358,28019228489,6750000001,2.193956821
xs-4114,8192,97674708006,28548404162,6750000001,2.376323257
xs-4114,8192,98025517746,28551830863,6750000001,2.418727756
xs-4114,8192,97727207103,28539936461,6750000001,2.391107908
i7-7700,1,21460871343,27403553701,6750000001,5.179029425
i7-7700,1,22151799238,27402618125,6750000001,5.360403097
i7-7700,1,21109581399,27403623542,6750000001,5.094320791
i7-7700,2,21121948274,27406737553,6750000001,2.623612742
i7-7700,2,21476394277,27406400466,6750000001,2.665613702
i7-7700,2,21752860308,27407752462,6750000001,2.696462118
i7-7700,4,22584838108,27414018950,6750000001,1.462501931
i7-7700,4,22197261901,27413959852,6750000001,1.454137080
i7-7700,4,21259654881,27412373903,6750000001,1.394503553
i7-7700,8,95535730119,27468343056,6750000001,3.115703255
i7-7700,8,95816461167,27467894552,6750000001,3.114902909
i7-7700,8,96419070848,27465127729,6750000001,3.137245774
i7-7700,16,95648467586,27444203518,6750000001,3.158810005
i7-7700,16,95733667848,27444414857,6750000001,3.185735976
i7-7700,16,94482079782,27443995698,6750000001,3.154066174
i7-7700,32,95907806913,27450871174,6750000001,3.138711617
i7-7700,32,96242783380,27450596654,6750000001,3.176995297
i7-7700,32,96410598826,27453178061,6750000001,3.351341290
i7-7700,64,95910813575,27465913357,6750000001,3.313489536
i7-7700,64,96030420631,27467804505,6750000001,3.349197512
i7-7700,64,95953107211,27468176654,6750000001,3.323759171
i7-7700,128,96223962778,27482471080,6750000001,3.322205027
i7-7700,128,96142288339,27476320171,6750000001,3.133165673
i7-7700,128,96207852342,27477997483,6750000001,3.146689432
i7-7700,256,95891678745,27501250862,6750000001,3.148583325
i7-7700,256,96137914849,27499485153,6750000001,3.117092810
i7-7700,256,96415355422,27503663550,6750000001,3.184451458
i7-7700,512,95166320144,27554557991,6750000001,3.326490786
i7-7700,512,95406466545,27577513878,6750000001,3.826700679
i7-7700,512,95921218813,27549763329,6750000001,3.432541584
i7-7700,1024,95113628217,27612421849,6750000001,3.114628275
i7-7700,1024,94929552748,27615161305,6750000001,3.096855064
i7-7700,1024,95144742943,27607141916,6750000001,3.084910526
i7-7700,2048,94631264402,27741245342,6750000001,3.114224980
i7-7700,2048,95140605472,27757648689,6750000001,3.281151216
i7-7700,2048,94914418142,27747466712,6750000001,3.724758676
i7-7700,4096,95155323874,28016372105,6750000001,3.381307640
i7-7700,4096,95222226648,27996845534,6750000001,3.175306282
i7-7700,4096,95837870754,28003866985,6750000001,3.169472855
i7-7700,8192,96782703302,28510846478,6750000001,3.324088943
i7-7700,8192,96593813683,28539401401,6750000001,3.327221538
i7-7700,8192,97279561537,28528107115,6750000001,3.472062946
